,sector,subsector,iso3_country,co2e_100yr,continent_ct
224,waste,solid-waste-disposal,SVN,12080,Europe
225,mineral-extraction,copper-mining,SWE,86780,Europe
226,waste,solid-waste-disposal,SWE,11065,Europe
227,fossil-fuel-operations,coal-mining,SWZ,75727,Africa
228,waste,solid-waste-disposal,TCD,137546,Africa
229,waste,solid-waste-disposal,TGO,164024,Africa
230,fossil-fuel-operations,coal-mining,THA,2007875,Asia
231,waste,solid-waste-disposal,THA,10450,Asia
232,fossil-fuel-operations,coal-mining,TJK,63703,Asia
233,waste,solid-waste-disposal,TJK,141970,Asia
234,waste,solid-waste-disposal,TLS,61161,Asia
235,waste,solid-waste-disposal,TON,99606,Oceania
236,waste,solid-waste-disposal,TTO,456188,North America
237,waste,solid-waste-disposal,TUN,219961,Africa
238,fossil-fuel-operations,coal-mining,TUR,89753,Asia
239,mineral-extraction,copper-mining,TUR,126580,Asia
240,waste,solid-waste-disposal,TUR,187410,Asia
241,waste,solid-waste-disposal,TUV,338297,Oceania
242,waste,solid-waste-disposal,TWN,61169,Asia
243,fossil-fuel-operations,coal-mining,TZA,106049,Africa
244,mineral-extraction,copper-mining,TZA,16476,Africa
245,waste,solid-waste-disposal,TZA,16370,Africa
246,waste,solid-waste-disposal,UGA,46781,Africa
247,fossil-fuel-operations,coal-mining,UKR,614823,Europe
248,waste,solid-waste-disposal,UKR,194959,Europe
249,waste,solid-waste-disposal,URY,134826,South America
250,fossil-fuel-operations,coal-mining,USA,179970,North America
251,mineral-extraction,copper-mining,USA,213537,North America
252,waste,solid-waste-disposal,USA,79986,North America
253,fossil-fuel-operations,coal-mining,UZB,87766,Asia
254,mineral-extraction,copper-mining,UZB,918675,Asia
255,waste,solid-waste-disposal,UZB,328260,Asia
256,fossil-fuel-operations,coal-mining,VEN,630162,South America
257,waste,solid-waste-disposal,VEN,50675,South America
258,fossil-fuel-operations,coal-mining,VNM,354909,Asia
259,waste,solid-waste-disposal,VNM,13904,Asia
260,waste,solid-waste-disposal,VUT,72357,Oceania
261,fossil-fuel-operations,coal-mining,XKX,203112,Europe
262,waste,solid-waste-disposal,XKX,331478,Europe
263,waste,solid-waste-disposal,YEM,235548,Asia
264,fossil-fuel-operations,coal-mining,ZAF,469091,Africa
265,mineral-extraction,copper-mining,ZAF,164060,Africa
266,waste,solid-waste-disposal,ZAF,425269,Africa
267,fossil-fuel-operations,coal-mining,ZMB,19026,Africa
268,mineral-extraction,copper-mining,ZMB,195924,Africa
269,waste,solid-waste-disposal,ZMB,140083,Africa
270,fossil-fuel-operations,coal-mining,ZWE,124552,Africa
271,mineral-extraction,copper-mining,ZWE,110824,Africa
272,waste,solid-waste-disposal,ZWE,410960,Africa
